GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4740,0.0023
0400000US02,02,Alaska,0.4146,0.0045
0400000US04,04,Arizona,0.4614,0.0018
0400000US05,05,Arkansas,0.4661,0.0024
0400000US06,06,California,0.4823,0.0007
0400000US08,08,Colorado,0.4584,0.0020
0400000US09,09,Connecticut,0.4919,0.0024
0400000US10,10,Delaware,0.4433,0.0047
0400000US11,11,District of Columbia,0.5295,0.0054
0400000US12,12,Florida,0.4812,0.0014
0400000US13,13,Georgia,0.4775,0.0014
0400000US15,15,Hawaii,0.4321,0.0037
0400000US16,16,Idaho,0.4375,0.0041
0400000US17,17,Illinois,0.4731,0.0013
0400000US18,18,Indiana,0.4450,0.0017
0400000US19,19,Iowa,0.4358,0.0025
0400000US20,20,Kansas,0.4517,0.0025
0400000US21,21,Kentucky,0.4693,0.0023
0400000US22,22,Louisiana,0.4840,0.0020
0400000US23,23,Maine,0.4490,0.0039
0400000US24,24,Maryland,0.4483,0.0017
0400000US25,25,Massachusetts,0.4801,0.0014
0400000US26,26,Michigan,0.4592,0.0012
0400000US27,27,Minnesota,0.4459,0.0014
0400000US28,28,Mississippi,0.4769,0.0029
0400000US29,29,Missouri,0.4604,0.0019
0400000US30,30,Montana,0.4484,0.0035
0400000US31,31,Nebraska,0.4383,0.0024
0400000US32,32,Nevada,0.4493,0.0027
0400000US33,33,New Hampshire,0.4340,0.0036
0400000US34,34,New Jersey,0.4721,0.0015
0400000US35,35,New Mexico,0.4724,0.0032
0400000US36,36,New York,0.5048,0.0012
0400000US37,37,North Carolina,0.4703,0.0017
0400000US38,38,North Dakota,0.4535,0.0049
0400000US39,39,Ohio,0.4598,0.0010
0400000US40,40,Oklahoma,0.4624,0.0025
0400000US41,41,Oregon,0.4581,0.0024
0400000US42,42,Pennsylvania,0.4646,0.0011
0400000US44,44,Rhode Island,0.4720,0.0038
0400000US45,45,South Carolina,0.4657,0.0019
0400000US46,46,South Dakota,0.4404,0.0045
0400000US47,47,Tennessee,0.4751,0.0018
0400000US48,48,Texas,0.4769,0.0009
0400000US49,49,Utah,0.4247,0.0028
0400000US50,50,Vermont,0.4412,0.0049
0400000US51,51,Virginia,0.4643,0.0013
0400000US53,53,Washington,0.4496,0.0017
0400000US54,54,West Virginia,0.4614,0.0040
0400000US55,55,Wisconsin,0.4381,0.0016
0400000US56,56,Wyoming,0.4185,0.0056
0400000US72,72,Puerto Rico,0.5389,0.0027
