GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4776,0.0019
0400000US02,02,Alaska,0.4180,0.0049
0400000US04,04,Arizona,0.4690,0.0017
0400000US05,05,Arkansas,0.4732,0.0028
0400000US06,06,California,0.4889,0.0008
0400000US08,08,Colorado,0.4589,0.0019
0400000US09,09,Connecticut,0.4950,0.0021
0400000US10,10,Delaware,0.4570,0.0050
0400000US11,11,District of Columbia,0.5314,0.0054
0400000US12,12,Florida,0.4858,0.0011
0400000US13,13,Georgia,0.4821,0.0016
0400000US15,15,Hawaii,0.4404,0.0033
0400000US16,16,Idaho,0.4478,0.0046
0400000US17,17,Illinois,0.4809,0.0013
0400000US18,18,Indiana,0.4505,0.0020
0400000US19,19,Iowa,0.4427,0.0026
0400000US20,20,Kansas,0.4560,0.0026
0400000US21,21,Kentucky,0.4762,0.0023
0400000US22,22,Louisiana,0.4910,0.0024
0400000US23,23,Maine,0.4529,0.0038
0400000US24,24,Maryland,0.4520,0.0015
0400000US25,25,Massachusetts,0.4831,0.0017
0400000US26,26,Michigan,0.4656,0.0012
0400000US27,27,Minnesota,0.4501,0.0016
0400000US28,28,Mississippi,0.4781,0.0029
0400000US29,29,Missouri,0.4630,0.0019
0400000US30,30,Montana,0.4607,0.0042
0400000US31,31,Nebraska,0.4427,0.0026
0400000US32,32,Nevada,0.4528,0.0026
0400000US33,33,New Hampshire,0.4354,0.0036
0400000US34,34,New Jersey,0.4802,0.0012
0400000US35,35,New Mexico,0.4764,0.0029
0400000US36,36,New York,0.5129,0.0014
0400000US37,37,North Carolina,0.4761,0.0015
0400000US38,38,North Dakota,0.4589,0.0049
0400000US39,39,Ohio,0.4644,0.0011
0400000US40,40,Oklahoma,0.4654,0.0021
0400000US41,41,Oregon,0.4615,0.0019
0400000US42,42,Pennsylvania,0.4705,0.0011
0400000US44,44,Rhode Island,0.4748,0.0043
0400000US45,45,South Carolina,0.4706,0.0022
0400000US46,46,South Dakota,0.4462,0.0052
0400000US47,47,Tennessee,0.4801,0.0019
0400000US48,48,Texas,0.4803,0.0009
0400000US49,49,Utah,0.4261,0.0029
0400000US50,50,Vermont,0.4468,0.0045
0400000US51,51,Virginia,0.4666,0.0014
0400000US53,53,Washington,0.4569,0.0018
0400000US54,54,West Virginia,0.4620,0.0031
0400000US55,55,Wisconsin,0.4441,0.0017
0400000US56,56,Wyoming,0.4293,0.0062
0400000US72,72,Puerto Rico,0.5492,0.0037
